viirs_id,latitude,longitude,brightness,resolution_along_scan,resolution_along_track,detection_confidence,fire_power,persistent_anomaly,date,province
1,10.96991539,103.33486938,333.86154175,0.375,0.375,8,4.66526842,0,2023-01-31,other
1,10.97368622,103.33435059,338.96685791,0.375,0.375,8,4.66526842,0,2023-01-31,other
1,10.97865868,103.31484222,331.56365967,0.375,0.375,8,3.53633809,0,2023-01-31,other
1,11.05542088,103.42224121,339.31869507,0.375,0.375,8,5.06955528,0,2023-01-31,other
1,11.18327427,104.29851532,334.81515503,0.375,0.375,8,4.21445513,0,2023-01-31,other
1,11.04199028,103.30112457,345.6008606,0.375,0.375,8,6.85882902,0,2023-01-31,other
1,10.3740778,98.75991821,333.49029541,0.375,0.375,8,7.5804162,0,2023-01-31,Ranong
1,11.04238415,103.30312347,348.29425049,0.375,0.375,8,11.97716236,0,2023-01-31,other
1,11.18446827,104.29816437,330.13690186,0.375,0.375,8,4.78670502,0,2023-01-31,other
1,11.55103207,106.51205444,341.32781982,0.375,0.375,8,7.44604492,0,2023-01-31,other
1,11.55570698,106.5114212,349.92486572,0.375,0.375,8,10.99470043,0,2023-01-31,other
1,11.14581585,103.27417755,334.1260376,0.375,0.375,8,4.59035158,0,2023-01-31,other
1,11.14646816,103.27560425,332.50030518,0.375,0.375,8,3.84928703,0,2023-01-31,other
1,11.17536831,103.29035187,331.55880737,0.375,0.375,8,4.64437008,0,2023-01-31,other
1,11.67877865,106.78229523,343.46069336,0.375,0.375,8,9.13831902,0,2023-01-31,other
1,11.38044643,104.40489197,335.50186157,0.375,0.375,8,2.5605564100000002,0,2023-01-31,other
1,11.75402641,106.87350464,339.53952026,0.375,0.375,8,9.99837875,0,2023-01-31,other
1,11.75333023,106.86825562,333.39810181,0.375,0.375,8,6.50848722,0,2023-01-31,other
1,11.32971287,103.72491455,338.03753662,0.375,0.375,8,9.34398651,0,2023-01-31,other
1,11.32994366,103.72160339,344.37063599,0.375,0.375,8,29.19437981,0,2023-01-31,other
1,11.33381653,103.72106171,354.44781494,0.375,0.375,8,29.19437981,0,2023-01-31,other
1,11.75249863,106.87039185,350.95367432,0.375,0.375,8,11.451684,0,2023-01-31,other
1,11.31661987,103.25750732,333.45632935,0.375,0.375,8,28.91583633,0,2023-01-31,other
1,11.64808178,105.65827942,336.07208252,0.375,0.375,8,5.22413015,0,2023-01-31,other
1,11.92426586,107.71749115,335.30044556,0.375,0.375,8,2.74619961,0,2023-01-31,other
1,12.07002831,108.84472656,329.22695923,0.375,0.375,8,1.16010261,0,2023-01-31,other
1,11.960886,107.80094147,367.0,0.375,0.375,9,9.62849236,0,2023-01-31,other
1,11.96049118,107.79785919,330.8187561,0.375,0.375,8,4.25995398,0,2023-01-31,other
1,11.94924831,107.7099762,332.68713379,0.375,0.375,8,1.9163506,0,2023-01-31,other
1,11.34642506,103.19691467,332.92007446,0.375,0.375,8,3.8172853,0,2023-01-31,other
1,11.35739899,103.24698639,332.70898438,0.375,0.375,8,2.1898303,0,2023-01-31,other
1,11.35376453,103.16789246,335.86825562,0.375,0.375,8,5.55600405,0,2023-01-31,other
1,11.35719299,103.24378204,334.82971191,0.375,0.375,8,3.83824635,0,2023-01-31,other
1,11.35467243,103.16915131,335.21310425,0.375,0.375,8,6.15972805,0,2023-01-31,other
1,11.68612099,105.64516449,331.81118774,0.375,0.375,8,3.88338518,0,2023-01-31,other
1,11.36279583,103.17260742,334.29589844,0.375,0.375,8,6.78046989,0,2023-01-31,other
1,11.36216831,103.16804504,336.190979,0.375,0.375,8,8.66837311,0,2023-01-31,other
1,11.96270084,107.79847717,367.0,0.375,0.375,9,6.01852942,0,2023-01-31,other
1,11.9630785,107.80161285,348.5927124,0.375,0.375,8,6.01852942,0,2023-01-31,other
1,11.36654377,103.17205811,343.61114502,0.375,0.375,8,6.78046989,0,2023-01-31,other
1,11.38038826,103.21698761,332.04898071,0.375,0.375,8,4.05508804,0,2023-01-31,other
1,11.38415241,103.21645355,331.76507568,0.375,0.375,8,3.54711652,0,2023-01-31,other
1,12.01656628,108.0267868,339.05422974,0.375,0.375,8,3.23201799,0,2023-01-31,other
1,11.71440029,105.51790619,340.30142212,0.375,0.375,8,2.79689169,0,2023-01-31,other
1,11.69542885,105.37356567,335.06509399,0.375,0.375,8,4.86193371,0,2023-01-31,other
1,11.71878052,105.51731873,343.30541992,0.375,0.375,8,8.31963921,0,2023-01-31,other
1,11.47596455,103.71318054,337.28530884,0.375,0.375,8,13.75531006,0,2023-01-31,other
1,11.374366760000001,102.98168182,340.66781616,0.375,0.375,8,5.55944157,0,2023-01-31,other
1,11.87639046,106.69745636,338.43304443,0.375,0.375,8,3.00362277,0,2023-01-31,other
1,11.47984219,103.71261597,345.44070435,0.375,0.375,8,13.75531006,0,2023-01-31,other
1,12.04792118,108.02298737,349.57058716,0.375,0.375,8,4.22275877,0,2023-01-31,other
1,11.40910435,103.17539978,333.77420044,0.375,0.375,8,3.52334452,0,2023-01-31,other
1,11.57306957,104.30355835,337.48913574,0.375,0.375,8,3.60746622,0,2023-01-31,other
1,11.41984367,103.19735718,330.75808716,0.375,0.375,8,3.13588905,0,2023-01-31,other
1,12.02685452,107.64498138,333.17001343,0.375,0.375,8,1.7699965199999999,0,2023-01-31,other
1,11.59502125,104.37362671,332.74780273,0.375,0.375,8,1.9576836800000001,0,2023-01-31,other
1,11.5841732,104.29470062,344.30270386,0.375,0.375,8,11.86104202,0,2023-01-31,other
1,11.57690239,103.93045044,330.6076355,0.375,0.375,8,65.01731873,0,2023-01-31,other
1,12.08220768,107.73807526,333.80331421,0.375,0.375,8,4.53210068,0,2023-01-31,other
1,12.08183575,107.73501587,350.99734497,0.375,0.375,8,2.69351602,0,2023-01-31,other
